long,lat,cpue
-42.5,30.5,3199.00
-41.5,30.5,2896.71
-40.5,30.5,2222.69
-39.5,30.5,2181.73
-38.5,30.5,1495.81
-37.5,30.5,2940.89
-36.5,30.5,2644.22
-35.5,30.5,2389.89
-34.5,30.5,2184.78
-33.5,30.5,1937.33
-32.5,30.5,2323.63
-31.5,30.5,3096.98
-30.5,30.5,2812.80
-29.5,30.5,3021.29
-28.5,30.5,2923.06
-27.5,30.5,2483.17
-26.5,30.5,2297.45
-25.5,30.5,1928.71
-24.5,30.5,2492.50
-23.5,30.5,1281.00
-22.5,30.5,1730.40
-21.5,30.5,1253.00
-20.5,30.5,1425.00
-19.5,30.5,2248.78
-18.5,30.5,2036.71
-17.5,30.5,0.00
-16.5,30.5,NA
-15.5,30.5,NA
-14.5,30.5,NA
-13.5,30.5,135.00
-12.5,30.5,NA
-11.5,30.5,0.00
-10.5,30.5,NA
-9.5,30.5,NA
-8.5,30.5,NA
-7.5,30.5,NA
-6.5,30.5,NA
-5.5,30.5,NA
-4.5,30.5,NA
-3.5,30.5,NA
-2.5,30.5,NA
-1.5,30.5,NA
-0.5,30.5,NA
-46.5,29.5,NA
-45.5,29.5,NA
-44.5,29.5,100.00
-43.5,29.5,3062.00
-42.5,29.5,NA
-41.5,29.5,NA
-40.5,29.5,NA
-39.5,29.5,2258.33
-38.5,29.5,1667.33
-37.5,29.5,1986.20
-36.5,29.5,2859.42
-35.5,29.5,2548.25
-34.5,29.5,2170.43
-33.5,29.5,2412.67
-32.5,29.5,1140.67
-31.5,29.5,1665.46
-30.5,29.5,1632.86
-29.5,29.5,1963.11
-28.5,29.5,2949.67
-27.5,29.5,1953.71
-26.5,29.5,2231.50
-25.5,29.5,2361.55
-24.5,29.5,1347.00
-23.5,29.5,1397.20
-22.5,29.5,1039.00
-21.5,29.5,1552.00
-20.5,29.5,1280.43
-19.5,29.5,986.57
-18.5,29.5,1528.52
-17.5,29.5,1448.88
-16.5,29.5,383.00
-15.5,29.5,NA
-14.5,29.5,NA
-13.5,29.5,270.00
-12.5,29.5,235.00
-11.5,29.5,NA
-10.5,29.5,NA
-9.5,29.5,NA
-8.5,29.5,NA
-7.5,29.5,NA
-6.5,29.5,NA
-5.5,29.5,NA
-4.5,29.5,NA
-3.5,29.5,NA
-2.5,29.5,NA
-1.5,29.5,NA
-0.5,29.5,NA
-46.5,28.5,NA
-45.5,28.5,NA
-44.5,28.5,NA
-43.5,28.5,NA
-42.5,28.5,308.00
-41.5,28.5,NA
-40.5,28.5,NA
-39.5,28.5,NA
-38.5,28.5,504.00
-37.5,28.5,871.60
-36.5,28.5,1102.40
-35.5,28.5,1594.38
-34.5,28.5,1388.00
-33.5,28.5,NA
-32.5,28.5,1561.00
-31.5,28.5,NA
-30.5,28.5,NA
-29.5,28.5,NA
-28.5,28.5,615.00
-27.5,28.5,1127.50
-26.5,28.5,1537.00
-25.5,28.5,513.00
-24.5,28.5,NA
-23.5,28.5,NA
-22.5,28.5,3418.00
-21.5,28.5,1402.00
-20.5,28.5,1849.09
-19.5,28.5,1386.46
-18.5,28.5,1453.14
-17.5,28.5,270.17
-16.5,28.5,108.89
-15.5,28.5,432.50
-14.5,28.5,NA
-13.5,28.5,617.00
-12.5,28.5,NA
-11.5,28.5,NA
-10.5,28.5,NA
-9.5,28.5,NA
-8.5,28.5,NA
-7.5,28.5,NA
-6.5,28.5,NA
-5.5,28.5,NA
-4.5,28.5,NA
-3.5,28.5,NA
-2.5,28.5,NA
-1.5,28.5,NA
-0.5,28.5,NA
-46.5,27.5,NA
-45.5,27.5,2450.00
-44.5,27.5,NA
-43.5,27.5,174.00
-42.5,27.5,NA
-41.5,27.5,NA
-40.5,27.5,NA
-39.5,27.5,NA
-38.5,27.5,NA
-37.5,27.5,322.00
-36.5,27.5,2500.00
-35.5,27.5,822.00
-34.5,27.5,NA
-33.5,27.5,3180.00
-32.5,27.5,980.00
-31.5,27.5,NA
-30.5,27.5,NA
-29.5,27.5,NA
-28.5,27.5,1127.50
-27.5,27.5,755.33
-26.5,27.5,NA
-25.5,27.5,NA
-24.5,27.5,NA
-23.5,27.5,NA
-22.5,27.5,NA
-21.5,27.5,1616.67
-20.5,27.5,2063.50
-19.5,27.5,1269.79
-18.5,27.5,2435.59
-17.5,27.5,3254.00
-16.5,27.5,965.60
-15.5,27.5,NA
-14.5,27.5,120.00
-13.5,27.5,NA
-12.5,27.5,NA
-11.5,27.5,NA
-10.5,27.5,NA
-9.5,27.5,NA
-8.5,27.5,NA
-7.5,27.5,NA
-6.5,27.5,NA
-5.5,27.5,NA
-4.5,27.5,NA
-3.5,27.5,NA
-2.5,27.5,NA
-1.5,27.5,NA
-0.5,27.5,NA
-46.5,26.5,NA
-45.5,26.5,NA
-44.5,26.5,NA
-43.5,26.5,NA
-42.5,26.5,NA
-41.5,26.5,NA
-40.5,26.5,NA
-39.5,26.5,NA
-38.5,26.5,1016.00
-37.5,26.5,NA
-36.5,26.5,514.67
-35.5,26.5,NA
-34.5,26.5,NA
-33.5,26.5,NA
-32.5,26.5,NA
-31.5,26.5,NA
-30.5,26.5,NA
-29.5,26.5,NA
-28.5,26.5,NA
-27.5,26.5,NA
-26.5,26.5,NA
-25.5,26.5,113.00
-24.5,26.5,1139.00
-23.5,26.5,699.00
-22.5,26.5,1681.00
-21.5,26.5,2830.56
-20.5,26.5,2530.24
-19.5,26.5,2561.16
-18.5,26.5,1878.80
-17.5,26.5,1494.50
-16.5,26.5,70.00
-15.5,26.5,800.00
-14.5,26.5,NA
-13.5,26.5,NA
-12.5,26.5,NA
-11.5,26.5,NA
-10.5,26.5,NA
-9.5,26.5,NA
-8.5,26.5,NA
-7.5,26.5,NA
-6.5,26.5,NA
-5.5,26.5,NA
-4.5,26.5,NA
-3.5,26.5,NA
-2.5,26.5,NA
-1.5,26.5,NA
-0.5,26.5,NA
-46.5,25.5,NA
-45.5,25.5,NA
-44.5,25.5,NA
-43.5,25.5,NA
-42.5,25.5,NA
-41.5,25.5,NA
-40.5,25.5,NA
-39.5,25.5,NA
-38.5,25.5,NA
-37.5,25.5,NA
-36.5,25.5,NA
-35.5,25.5,NA
-34.5,25.5,NA
-33.5,25.5,NA
-32.5,25.5,NA
-31.5,25.5,NA
-30.5,25.5,NA
-29.5,25.5,NA
-28.5,25.5,1584.00
-27.5,25.5,NA
-26.5,25.5,1424.00
-25.5,25.5,2145.50
-24.5,25.5,1591.00
-23.5,25.5,1641.00
-22.5,25.5,1683.50
-21.5,25.5,1800.13
-20.5,25.5,2410.59
-19.5,25.5,1988.30
-18.5,25.5,1663.60
-17.5,25.5,NA
-16.5,25.5,NA
-15.5,25.5,NA
-14.5,25.5,NA
-13.5,25.5,NA
-12.5,25.5,NA
-11.5,25.5,NA
-10.5,25.5,NA
-9.5,25.5,NA
-8.5,25.5,NA
-7.5,25.5,NA
-6.5,25.5,NA
-5.5,25.5,NA
-4.5,25.5,NA
-3.5,25.5,NA
-2.5,25.5,NA
-1.5,25.5,NA
-0.5,25.5,NA
-46.5,24.5,NA
-45.5,24.5,NA
-44.5,24.5,NA
-43.5,24.5,NA
-42.5,24.5,NA
-41.5,24.5,NA
-40.5,24.5,NA
-39.5,24.5,NA
-38.5,24.5,NA
-37.5,24.5,NA
-36.5,24.5,NA
-35.5,24.5,NA
-34.5,24.5,NA
-33.5,24.5,NA
-32.5,24.5,NA
-31.5,24.5,NA
-30.5,24.5,NA
-29.5,24.5,NA
-28.5,24.5,2460.00
-27.5,24.5,2460.00
-26.5,24.5,1062.00
-25.5,24.5,1671.00
-24.5,24.5,3600.00
-23.5,24.5,1946.00
-22.5,24.5,2198.40
-21.5,24.5,1765.41
-20.5,24.5,1716.11
-19.5,24.5,1098.86
-18.5,24.5,2050.00
-17.5,24.5,NA
-16.5,24.5,NA
-15.5,24.5,NA
-14.5,24.5,NA
-13.5,24.5,NA
-12.5,24.5,NA
-11.5,24.5,NA
-10.5,24.5,NA
-9.5,24.5,NA
-8.5,24.5,NA
-7.5,24.5,NA
-6.5,24.5,NA
-5.5,24.5,NA
-4.5,24.5,NA
-3.5,24.5,NA
-2.5,24.5,NA
-1.5,24.5,NA
-0.5,24.5,NA
-46.5,23.5,NA
-45.5,23.5,NA
-44.5,23.5,NA
-43.5,23.5,NA
-42.5,23.5,NA
-41.5,23.5,NA
-40.5,23.5,NA
-39.5,23.5,NA
-38.5,23.5,NA
-37.5,23.5,NA
-36.5,23.5,NA
-35.5,23.5,NA
-34.5,23.5,NA
-33.5,23.5,NA
-32.5,23.5,NA
-31.5,23.5,NA
-30.5,23.5,NA
-29.5,23.5,NA
-28.5,23.5,NA
-27.5,23.5,NA
-26.5,23.5,1627.00
-25.5,23.5,964.50
-24.5,23.5,1521.33
-23.5,23.5,2166.83
-22.5,23.5,1788.93
-21.5,23.5,1804.61
-20.5,23.5,1397.00
-19.5,23.5,377.00
