long,lat,vms-intens
-37.5,58.5,NA
-36.5,58.5,NA
-35.5,58.5,NA
-34.5,58.5,NA
-33.5,58.5,NA
-32.5,58.5,NA
-31.5,58.5,NA
-30.5,58.5,NA
-29.5,58.5,NA
-28.5,58.5,NA
-27.5,58.5,NA
-26.5,58.5,NA
-25.5,58.5,NA
-24.5,58.5,NA
-23.5,58.5,NA
-22.5,58.5,NA
-21.5,58.5,NA
-20.5,58.5,NA
-19.5,58.5,NA
-18.5,58.5,NA
-17.5,58.5,NA
-16.5,58.5,NA
-15.5,58.5,NA
-14.5,58.5,NA
-13.5,58.5,NA
-12.5,58.5,NA
-11.5,58.5,NA
-10.5,58.5,NA
-9.5,58.5,NA
-8.5,58.5,NA
-7.5,58.5,NA
-6.5,58.5,NA
-5.5,58.5,NA
-4.5,58.5,NA
-3.5,58.5,NA
-2.5,58.5,NA
-1.5,58.5,NA
-0.5,58.5,NA
-89.5,57.5,NA
-88.5,57.5,NA
-87.5,57.5,NA
-86.5,57.5,NA
-85.5,57.5,NA
-84.5,57.5,NA
-83.5,57.5,NA
-82.5,57.5,NA
-81.5,57.5,NA
-80.5,57.5,NA
-79.5,57.5,NA
-78.5,57.5,NA
-77.5,57.5,NA
-76.5,57.5,NA
-75.5,57.5,NA
-74.5,57.5,NA
-73.5,57.5,NA
-72.5,57.5,NA
-71.5,57.5,NA
-70.5,57.5,NA
-69.5,57.5,NA
-68.5,57.5,NA
-67.5,57.5,NA
-66.5,57.5,NA
-65.5,57.5,NA
-64.5,57.5,NA
-63.5,57.5,NA
-62.5,57.5,NA
-61.5,57.5,NA
-60.5,57.5,NA
-59.5,57.5,NA
-58.5,57.5,NA
-57.5,57.5,NA
-56.5,57.5,NA
-55.5,57.5,NA
-54.5,57.5,NA
-53.5,57.5,NA
-52.5,57.5,NA
-51.5,57.5,NA
-50.5,57.5,NA
-49.5,57.5,NA
-48.5,57.5,NA
-47.5,57.5,NA
-46.5,57.5,NA
-45.5,57.5,NA
-44.5,57.5,NA
-43.5,57.5,NA
-42.5,57.5,NA
-41.5,57.5,NA
-40.5,57.5,NA
-39.5,57.5,NA
-38.5,57.5,NA
-37.5,57.5,NA
-36.5,57.5,NA
-35.5,57.5,NA
-34.5,57.5,NA
-33.5,57.5,NA
-32.5,57.5,NA
-31.5,57.5,NA
-30.5,57.5,NA
-29.5,57.5,NA
-28.5,57.5,NA
-27.5,57.5,NA
-26.5,57.5,NA
-25.5,57.5,NA
-24.5,57.5,NA
-23.5,57.5,NA
-22.5,57.5,NA
-21.5,57.5,NA
-20.5,57.5,NA
-19.5,57.5,NA
-18.5,57.5,NA
-17.5,57.5,NA
-16.5,57.5,NA
-15.5,57.5,NA
-14.5,57.5,NA
-13.5,57.5,NA
-12.5,57.5,NA
-11.5,57.5,NA
-10.5,57.5,NA
-9.5,57.5,NA
-8.5,57.5,NA
-7.5,57.5,NA
-6.5,57.5,NA
-5.5,57.5,NA
-4.5,57.5,NA
-3.5,57.5,NA
-2.5,57.5,NA
-1.5,57.5,NA
-0.5,57.5,NA
-89.5,56.5,NA
-88.5,56.5,NA
-87.5,56.5,NA
-86.5,56.5,NA
-85.5,56.5,NA
-84.5,56.5,NA
-83.5,56.5,NA
-82.5,56.5,NA
-81.5,56.5,NA
-80.5,56.5,NA
-79.5,56.5,NA
-78.5,56.5,NA
-77.5,56.5,NA
-76.5,56.5,NA
-75.5,56.5,NA
-74.5,56.5,NA
-73.5,56.5,NA
-72.5,56.5,NA
-71.5,56.5,NA
-70.5,56.5,NA
-69.5,56.5,NA
-68.5,56.5,NA
-67.5,56.5,NA
-66.5,56.5,NA
-65.5,56.5,NA
-64.5,56.5,NA
-63.5,56.5,NA
-62.5,56.5,NA
-61.5,56.5,NA
-60.5,56.5,NA
-59.5,56.5,NA
-58.5,56.5,NA
-57.5,56.5,NA
-56.5,56.5,NA
-55.5,56.5,NA
-54.5,56.5,NA
-53.5,56.5,NA
-52.5,56.5,NA
-51.5,56.5,NA
-50.5,56.5,NA
-49.5,56.5,NA
-48.5,56.5,NA
-47.5,56.5,NA
-46.5,56.5,NA
-45.5,56.5,NA
-44.5,56.5,NA
-43.5,56.5,NA
-42.5,56.5,NA
-41.5,56.5,NA
-40.5,56.5,NA
-39.5,56.5,NA
-38.5,56.5,NA
-37.5,56.5,NA
-36.5,56.5,NA
-35.5,56.5,NA
-34.5,56.5,NA
-33.5,56.5,NA
-32.5,56.5,NA
-31.5,56.5,NA
-30.5,56.5,NA
-29.5,56.5,NA
-28.5,56.5,NA
-27.5,56.5,NA
-26.5,56.5,NA
-25.5,56.5,NA
-24.5,56.5,NA
-23.5,56.5,NA
-22.5,56.5,NA
-21.5,56.5,NA
-20.5,56.5,NA
-19.5,56.5,NA
-18.5,56.5,NA
-17.5,56.5,NA
-16.5,56.5,NA
-15.5,56.5,NA
-14.5,56.5,NA
-13.5,56.5,NA
-12.5,56.5,NA
-11.5,56.5,NA
-10.5,56.5,NA
-9.5,56.5,NA
-8.5,56.5,NA
-7.5,56.5,NA
-6.5,56.5,NA
-5.5,56.5,NA
-4.5,56.5,NA
-3.5,56.5,NA
-2.5,56.5,NA
-1.5,56.5,NA
-0.5,56.5,NA
-89.5,55.5,NA
-88.5,55.5,NA
-87.5,55.5,NA
-86.5,55.5,NA
-85.5,55.5,NA
-84.5,55.5,NA
-83.5,55.5,NA
-82.5,55.5,NA
-81.5,55.5,NA
-80.5,55.5,NA
-79.5,55.5,NA
-78.5,55.5,NA
-77.5,55.5,NA
-76.5,55.5,NA
-75.5,55.5,NA
-74.5,55.5,NA
-73.5,55.5,NA
-72.5,55.5,NA
-71.5,55.5,NA
-70.5,55.5,NA
-69.5,55.5,NA
-68.5,55.5,NA
-67.5,55.5,NA
-66.5,55.5,NA
-65.5,55.5,NA
-64.5,55.5,NA
-63.5,55.5,NA
-62.5,55.5,NA
-61.5,55.5,NA
-60.5,55.5,NA
-59.5,55.5,NA
-58.5,55.5,NA
-57.5,55.5,NA
-56.5,55.5,NA
-55.5,55.5,NA
-54.5,55.5,NA
-53.5,55.5,NA
-52.5,55.5,NA
-51.5,55.5,NA
-50.5,55.5,NA
-49.5,55.5,NA
-48.5,55.5,NA
-47.5,55.5,NA
-46.5,55.5,NA
-45.5,55.5,NA
-44.5,55.5,NA
-43.5,55.5,NA
-42.5,55.5,NA
-41.5,55.5,NA
-40.5,55.5,NA
-39.5,55.5,NA
-38.5,55.5,NA
-37.5,55.5,NA
-36.5,55.5,NA
-35.5,55.5,NA
-34.5,55.5,NA
-33.5,55.5,NA
-32.5,55.5,NA
-31.5,55.5,NA
-30.5,55.5,NA
-29.5,55.5,NA
-28.5,55.5,NA
-27.5,55.5,NA
-26.5,55.5,NA
-25.5,55.5,NA
-24.5,55.5,NA
-23.5,55.5,NA
-22.5,55.5,NA
-21.5,55.5,NA
-20.5,55.5,NA
-19.5,55.5,NA
-18.5,55.5,NA
-17.5,55.5,NA
-16.5,55.5,NA
-15.5,55.5,NA
-14.5,55.5,NA
-13.5,55.5,NA
-12.5,55.5,NA
-11.5,55.5,NA
-10.5,55.5,NA
-9.5,55.5,NA
-8.5,55.5,NA
-7.5,55.5,NA
-6.5,55.5,NA
-5.5,55.5,NA
-4.5,55.5,NA
-3.5,55.5,NA
-2.5,55.5,NA
-1.5,55.5,NA
-0.5,55.5,NA
-89.5,54.5,NA
-88.5,54.5,NA
-87.5,54.5,NA
-86.5,54.5,NA
-85.5,54.5,NA
-84.5,54.5,NA
-83.5,54.5,NA
-82.5,54.5,NA
-81.5,54.5,NA
-80.5,54.5,NA
-79.5,54.5,NA
-78.5,54.5,NA
-77.5,54.5,NA
-76.5,54.5,NA
-75.5,54.5,NA
-74.5,54.5,NA
-73.5,54.5,NA
-72.5,54.5,NA
-71.5,54.5,NA
-70.5,54.5,NA
-69.5,54.5,NA
-68.5,54.5,NA
-67.5,54.5,NA
-66.5,54.5,NA
-65.5,54.5,NA
-64.5,54.5,NA
-63.5,54.5,NA
-62.5,54.5,NA
-61.5,54.5,NA
-60.5,54.5,NA
-59.5,54.5,NA
-58.5,54.5,NA
-57.5,54.5,NA
-56.5,54.5,NA
-55.5,54.5,NA
-54.5,54.5,NA
-53.5,54.5,NA
-52.5,54.5,NA
-51.5,54.5,NA
-50.5,54.5,NA
-49.5,54.5,NA
-48.5,54.5,NA
-47.5,54.5,NA
-46.5,54.5,NA
-45.5,54.5,NA
-44.5,54.5,NA
-43.5,54.5,NA
-42.5,54.5,NA
-41.5,54.5,NA
-40.5,54.5,NA
-39.5,54.5,NA
-38.5,54.5,NA
-37.5,54.5,NA
-36.5,54.5,NA
-35.5,54.5,NA
-34.5,54.5,NA
-33.5,54.5,NA
